State	County	Start date	End date	Average M/R
Texas	montague	04/22/2020	05/31/2020	0.12891865079365078
North Carolina	montgomery	04/22/2020	05/31/2020	0.044753872185227084
Texas	montgomery	04/22/2020	05/31/2020	0.02280559292835557
North Carolina	moore	04/22/2020	05/31/2020	0.052924748728021574
Texas	moore	04/22/2020	05/31/2020	0.016913771969384823
West Virginia	morgan	04/22/2020	06/10/2020	0
Texas	morris	04/22/2020	05/31/2020	0
Oregon	morrow	04/22/2020	05/31/2020	0
Texas	motley	04/22/2020	05/31/2020	0
Oregon	multnomah	04/22/2020	05/31/2020	0.057527690336638126
Oklahoma	murray	04/22/2020	05/21/2020	0
Oklahoma	muskogee	04/22/2020	05/21/2020	0.19255326676303688
Texas	nacogdoches	04/22/2020	05/31/2020	0.05623483727164326
North Carolina	nash	04/22/2020	05/31/2020	0.0229219380934488
Texas	navarro	04/22/2020	05/31/2020	0.057005962053229164
North Carolina	new hanover	04/22/2020	05/31/2020	0.02976548724244175
Texas	newton	04/22/2020	05/31/2020	0
Idaho	nez perce	04/22/2020	05/31/2020	0.2443612285843774
West Virginia	nicholas	04/22/2020	06/10/2020	0.07029365079365078
Oklahoma	noble	04/22/2020	05/21/2020	0
North Carolina	northampton	04/22/2020	05/31/2020	0.06591979430603001
Oklahoma	nowata	04/22/2020	05/21/2020	0
Texas	nueces	04/22/2020	05/31/2020	0.0182596414475922
West Virginia	ohio	04/22/2020	06/10/2020	0.027329710032508222
Washington	okanogan	04/22/2020	05/31/2020	0.06173099065772303
Oklahoma	okfuskee	04/22/2020	05/21/2020	0
Oklahoma	oklahoma	04/22/2020	05/21/2020	0.04259771781867565
Oklahoma	okmulgee	04/22/2020	05/21/2020	0
Texas	oldham	04/22/2020	05/31/2020	0.325
North Carolina	onslow	04/22/2020	05/31/2020	0.02676014664250641
North Carolina	orange	04/22/2020	05/31/2020	0.10475792127678274
Texas	orange	04/22/2020	05/31/2020	0.017449146121340194
Oklahoma	osage	04/22/2020	05/21/2020	0.09943493156165095
Oklahoma	ottawa	04/22/2020	05/21/2020	0.03784592785946415
Oklahoma	out of ok	04/22/2020	05/21/2020	0
Idaho	owyhee	04/22/2020	05/31/2020	0
Washington	pacific	04/22/2020	05/31/2020	0.11701388888888889
Texas	palo pinto	04/22/2020	05/31/2020	0.18186618936618934
North Carolina	pamlico	04/22/2020	05/31/2020	0
Texas	panola	04/22/2020	05/31/2020	0.07452338668840733
Texas	parker	04/22/2020	05/31/2020	0.003973146210565923
Texas	parmer	04/22/2020	05/31/2020	0
North Carolina	pasquotank	04/22/2020	05/31/2020	0.06040466671319411
Oklahoma	pawnee	04/22/2020	05/21/2020	0.06929392446633825
Idaho	payette	04/22/2020	05/31/2020	0.08962297646491348
Oklahoma	payne	04/22/2020	05/21/2020	0.020303813327069143
Texas	pecos	04/22/2020	05/31/2020	0
Washington	pend oreille	04/22/2020	05/31/2020	0
North Carolina	pender	04/22/2020	05/31/2020	0.03118195348260583
West Virginia	pendleton	04/22/2020	06/10/2020	0.009230769230769232
North Carolina	perquimans	04/22/2020	05/31/2020	0.05347850925267132
North Carolina	person	04/22/2020	05/31/2020	0.020360113140786052
Washington	pierce	04/22/2020	05/31/2020	0.041822037162742944
North Carolina	pitt	04/22/2020	05/31/2020	0.012102448158732024
Oklahoma	pittsburg	04/22/2020	05/21/2020	0.07274448794578862
West Virginia	pleasants	04/22/2020	06/10/2020	0
North Carolina	polk	04/22/2020	05/31/2020	0.05394390213946665
Oregon	polk	04/22/2020	05/31/2020	0.07079713116718074
Texas	polk	04/22/2020	05/31/2020	0
Oklahoma	pontotoc	04/22/2020	05/21/2020	0.16636363636363635
Oklahoma	pottawatomie	04/22/2020	05/21/2020	0.08139458973576605
Texas	potter	04/22/2020	05/31/2020	0.013920468034055203
Idaho	power	04/22/2020	05/31/2020	0
West Virginia	preston	04/22/2020	06/10/2020	0.024227272727272722
West Virginia	putnam	04/22/2020	06/10/2020	0
Texas	rains	04/22/2020	05/31/2020	0
West Virginia	raleigh	04/22/2020	06/10/2020	0
Texas	randall	04/22/2020	05/31/2020	0.011240181425698811
North Carolina	randolph	04/22/2020	05/31/2020	0.016350761090042014
West Virginia	randolph	04/22/2020	06/10/2020	0
Texas	red river	04/22/2020	05/31/2020	0.029415208981582713
Texas	reeves	04/22/2020	05/31/2020	0
North Carolina	richmond	04/22/2020	05/31/2020	0.029590105363729212
West Virginia	roane	04/22/2020	06/10/2020	0.012444444444444445
Texas	roberts	04/22/2020	05/31/2020	0
Texas	robertson	04/22/2020	05/31/2020	0
North Carolina	robeson	04/22/2020	05/31/2020	0.021477356627976386
North Carolina	rockingham	04/22/2020	05/31/2020	0.0542912377617001
Texas	rockwall	04/22/2020	05/31/2020	0.03907906228190407
Oklahoma	rogers	04/22/2020	05/21/2020	0.06573366897332471
North Carolina	rowan	04/22/2020	05/31/2020	0.05402188326972259
Texas	rusk	04/22/2020	05/31/2020	0.03328495984962294
North Carolina	rutherford	04/22/2020	05/31/2020	0.04423464668451475
Texas	sabine	04/22/2020	05/31/2020	0
Utah	salt lake	04/22/2020	06/10/2020	0.013247925015312157
North Carolina	sampson	04/22/2020	05/31/2020	0.003905810229004841
Texas	san augustine	04/22/2020	05/31/2020	0.05072437479119245
Texas	san jacinto	04/22/2020	05/31/2020	0
Utah	san juan	04/22/2020	06/10/2020	0.023722859126150984
Washington	san juan	04/22/2020	05/31/2020	0
Texas	san patricio	04/22/2020	05/31/2020	0
North Carolina	scotland	04/22/2020	05/31/2020	0
Texas	scurry	04/22/2020	05/31/2020	0
Oklahoma	seminole	04/22/2020	05/21/2020	0.11255253031568824
Oklahoma	sequoyah	04/22/2020	05/21/2020	0.23133200133200135
Texas	shelby	04/22/2020	05/31/2020	0.024611415823914778
Oregon	sherman	04/22/2020	05/31/2020	0
Texas	sherman	04/22/2020	05/31/2020	0
Washington	skagit	04/22/2020	05/31/2020	0.03328659448624342
Washington	skamania	04/22/2020	05/31/2020	0
Texas	smith	04/22/2020	05/31/2020	0.01955075947987269
Washington	snohomish	04/22/2020	05/31/2020	0.0463903541398141
Utah	southeast utah	04/22/2020	06/10/2020	0
Utah	southwest utah	04/22/2020	06/10/2020	0.014745553625382319
Washington	spokane	04/22/2020	05/31/2020	0.06675022007550817
North Carolina	stanly	04/22/2020	05/31/2020	0.12159154501466078
Texas	starr	04/22/2020	05/31/2020	0
Oklahoma	stephens	04/22/2020	05/21/2020	0.045071148615771044
Texas	stephens	04/22/2020	05/31/2020	0
Washington	stevens	04/22/2020	05/31/2020	0.10666035353535355
North Carolina	stokes	04/22/2020	05/31/2020	0
West Virginia	summers	04/22/2020	06/10/2020	0
Utah	summit	04/22/2020	06/10/2020	0
North Carolina	surry	04/22/2020	05/31/2020	0.007284927478416544
Texas	swisher	04/22/2020	05/31/2020	0
Texas	tarrant	04/22/2020	05/31/2020	0.03574537390239015
Texas	taylor	04/22/2020	05/31/2020	0.021447457677870076
West Virginia	taylor	04/22/2020	06/10/2020	0
Texas	terry	04/22/2020	05/31/2020	0
Idaho	teton	04/22/2020	05/31/2020	0
Oklahoma	texas	04/22/2020	05/21/2020	0.010079388347232935
Washington	thurston	04/22/2020	05/31/2020	0.00860241814051443
Oregon	tillamook	04/22/2020	05/31/2020	0
Oklahoma	tillman	04/22/2020	05/21/2020	0.015686564897091214
Texas	titus	04/22/2020	05/31/2020	0.0034538320434313653
Texas	tom green	04/22/2020	05/31/2020	0.014491270716362447
Utah	tooele	04/22/2020	06/10/2020	0
North Carolina	transylvania	04/22/2020	05/31/2020	0
Texas	travis	04/22/2020	05/31/2020	0.029132761480472568
Utah	tricounty	04/22/2020	06/10/2020	0
Texas	trinity	04/22/2020	05/31/2020	0
West Virginia	tucker	04/22/2020	06/10/2020	0
Oklahoma	tulsa	04/22/2020	05/21/2020	0.05334344921589653
Idaho	twin falls	04/22/2020	05/31/2020	0.05416286922109974
Texas	tyler	04/22/2020	05/31/2020	0
West Virginia	tyler	04/22/2020	06/10/2020	0
North Carolina	tyrrell	04/22/2020	05/31/2020	0
Oregon	umatilla	04/22/2020	05/31/2020	0.01634218257018929
Idaho	unassigned	04/22/2020	05/31/2020	0
North Carolina	unassigned	04/22/2020	05/31/2020	0
Oklahoma	unassigned	04/22/2020	05/21/2020	0
Oregon	unassigned	04/22/2020	05/31/2020	0
Utah	unassigned	04/22/2020	06/10/2020	0
Washington	unassigned	04/22/2020	05/31/2020	0
West Virginia	unassigned	04/22/2020	06/10/2020	0
